pattern_pots,pattern_gardent,pattern_hanging,in shade,beginner,exposed to sunlight, flowers,air_puri,auspicious,size_s,size_m,size_l
1,1,0,0,0,1,0,0,0,0,0,1
1,1,0,1,1,0,1,0,0,0,1,0
1,1,0,1,1,0,1,0,0,1,0,0
1,1,0,1,1,1,0,0,1,1,0,0
1,1,0,0,1,0,0,0,1,1,0,0
1,1,0,1,1,0,1,0,1,1,0,0
1,0,1,1,0,1,0,0,0,0,1,0
1,1,0,1,0,1,0,1,0,1,0,0
1,1,0,1,0,1,0,0,0,1,0,0
1,1,0,1,0,0,1,0,0,1,0,0
